NOTCH








--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY	WIDTH	HEIGHT--
JAG2	Ejlh1U2VT-P2	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	4490	4450	150	52
 	fLn2ytnZVU-1	COMPLEX	965bb554-28f5-4c4d-9632-ade50543c8bc	4530	4580	150	52
PSEN2	Xzuk75kgUufI	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	4770	4730	150	52
EP300	q34LVe78WtHT	GENE	amGWWOzfWrg1	5210	4610	150	52
NOTCH2	YBZcjlo4WVnH	GENE	fLn2ytnZVU-1	4610	4550	150	52
ARRDC1	Qj8O9GJNT_AD	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	4650	4450	150	52
NOTCH4	Qf89YkiEWVne	GENE	fLn2ytnZVU-1	4610	4610	150	52
Cell growth, apoptosis	Nvu3J1djU_IC	PROCESS	965bb554-28f5-4c4d-9632-ade50543c8bc	5770	4570	156	64.06464987766992
SMAD2	af32c66d-f589-4b58-a778-41a693075064	GENE	ace6a12b-3aca-48f6-9931-b9610024e823	5450	4190	150	52
SMAD	ace6a12b-3aca-48f6-9931-b9610024e823	FAMILY	92518948-635d-4129-a883-c62f08c82333	5540	4230	150	52
Activin ligands	ade527b5-9c8d-4e46-aa3a-fc341be65118	GENE	92518948-635d-4129-a883-c62f08c82333	5630	3910	150	52
ACVR2B	f23fb58c-040e-404b-9bfc-75f422c10d55	GENE	5444433c-5145-404a-8e1c-89beca58c1f0	5630	4070	150	52
TGFBR	c23039d2-1f0d-4c41-b163-7200ecf4dd90	FAMILY	92518948-635d-4129-a883-c62f08c82333	5450	4030	150	52
ACVR2A	b62ceb90-e9da-4171-8de3-c7afb16c32ba	GENE	5444433c-5145-404a-8e1c-89beca58c1f0	5630	3990	150	52
SMAD3	d0e144d3-7e50-4693-b2af-dd55662ae8f6	GENE	ace6a12b-3aca-48f6-9931-b9610024e823	5630	4190	150	52
TGFBR2	5926b091-9631-4cd6-b7c6-44877a2b535d	GENE	c23039d2-1f0d-4c41-b163-7200ecf4dd90	5450	4070	150	52
TGFB ligands	cedd22c9-eece-4b47-8289-f6c5c28011dc	GENE	92518948-635d-4129-a883-c62f08c82333	5450	3910	150	52
ACVR2	5444433c-5145-404a-8e1c-89beca58c1f0	FAMILY	92518948-635d-4129-a883-c62f08c82333	5630	4030	150	52
TGFBR1	b81c5628-3351-4955-8939-8aa1e1e6d224	GENE	c23039d2-1f0d-4c41-b163-7200ecf4dd90	5450	3990	150	52
Proliferation, stem/progenitor phenotype	36abd6ab-967c-4c1c-b798-8edb33a8ef92	PROCESS	92518948-635d-4129-a883-c62f08c82333	5550	4350	264	24
SMAD4	87b0f4ca-8462-41e8-aa40-d94a879b42a6	GENE	ace6a12b-3aca-48f6-9931-b9610024e823	5550	4270	150	52
MXD1	b8206add-3fd4-4a38-9b8e-6357a03111ac	GENE	79907315-2f82-461e-9536-bc473a04ca56	4770	4030	150	52
MXD4	8f7afcb3-7523-4d06-a975-5b1bf712d73c	GENE	79907315-2f82-461e-9536-bc473a04ca56	5110	4030	150	52
MXI1	0f531b0e-6a91-44f1-b8ae-1177922bec87	GENE	79907315-2f82-461e-9536-bc473a04ca56	4870	4090	150	52
MGA	525528d3-f465-4cad-8943-ee65cbabcd49	GENE	0486c1a5-620c-4e17-93ab-f4c741582040	5110	3950	150	52
MYC/MAX Complex	7e258cf8-ede6-4b3b-af59-4c1edee6169b	COMPLEX	e0411475-93e3-4a1f-a126-516900881884	4950	3850	150	52
MYC	7388d287-5a15-456a-b152-2738a247fe2e	GENE	7e258cf8-ede6-4b3b-af59-4c1edee6169b	4790	3850	150	52
MYCL	68349ab2-b94b-4276-977b-3d31652ef4a0	GENE	7e258cf8-ede6-4b3b-af59-4c1edee6169b	5110	3850	150	52
MLXIPL	35e50e2c-9fa2-4782-8a98-5971fec400a7	GENE	55ab6649-83a0-4243-941b-1505af8d66a2	5110	4310	150	52
MAX/MXD Complex	79907315-2f82-461e-9536-bc473a04ca56	COMPLEX	e0411475-93e3-4a1f-a126-516900881884	4940	4060	817	142.70975026896377
MAX	a19c5386-9b57-43d3-9dce-cc8c8402c44c	GENE	0486c1a5-620c-4e17-93ab-f4c741582040	4870	3950	150	52
MXD3	73165b8d-ec61-4a47-8ea6-70d06290859b	GENE	79907315-2f82-461e-9536-bc473a04ca56	4950	4030	150	52
MLXIP	32b1316b-7114-4d0a-8821-6bfabe4b404e	GENE	55ab6649-83a0-4243-941b-1505af8d66a2	4930	4310	150	52
MLX	3f6bd80e-7839-4c01-b657-0134ef611a03	GENE	55ab6649-83a0-4243-941b-1505af8d66a2	5030	4190	150	52
MYCN	63ef88c4-d056-489f-b615-cdc7fda4abfd	GENE	7e258cf8-ede6-4b3b-af59-4c1edee6169b	4950	3850	150	52
MLX/MONDO Complex	55ab6649-83a0-4243-941b-1505af8d66a2	COMPLEX	e0411475-93e3-4a1f-a126-516900881884	5020	4250	150	52
MNT	0a6d2876-b2d4-427e-a72c-de70a6eb6d12	GENE	79907315-2f82-461e-9536-bc473a04ca56	5030	4090	150	52
MAX/MGA Complex	0486c1a5-620c-4e17-93ab-f4c741582040	COMPLEX	e0411475-93e3-4a1f-a126-516900881884	4990	3950	150	52
Cell growth, proliferation, apoptosis	37893ed2-b713-4801-b9ff-fc9c251f86f7	PROCESS	e0411475-93e3-4a1f-a126-516900881884	4630	4250	246	24
PI3K Pathway	7fb615ea-b479-4723-906a-37386e48c1f1	COMPARTMENT	-1	4863	3342	150	52
TGFb pathway	92518948-635d-4129-a883-c62f08c82333	COMPARTMENT	-1	5540	4122	532.4343301150793	518.8678835171094
Notch pathway	965bb554-28f5-4c4d-9632-ade50543c8bc	COMPARTMENT	-1	5071	4623	1576.171901277173	402
Myc pathway	e0411475-93e3-4a1f-a126-516900881884	COMPARTMENT	-1	4849	4087	707	542.5
FRZB	899d6e9e-f9c4-44b1-969d-6ba39e7cc7e4	GENE	c9bb9673-b3f2-4323-a3f7-d1c83d885547	4330	3510	150	52
TLE1	8fe3148c-a886-40f1-81ab-6d13850dfb20	GENE	367b01a7-9a46-45da-87e9-32722dc7012f	4170	4250	150	52
TLE4	64914e88-eaa6-40fd-8c75-aa4d405466f5	GENE	367b01a7-9a46-45da-87e9-32722dc7012f	4330	4310	150	52
SFRP1	8a6aef24-51d3-470e-89de-00513344eab4	GENE	c9bb9673-b3f2-4323-a3f7-d1c83d885547	4170	3530	150	52
Groucho	367b01a7-9a46-45da-87e9-32722dc7012f	FAMILY	add448e9-e442-4153-b7f7-863cd62a0252	4250	4280	150	52
APC	bf146a2d-f64c-4789-bdf4-01a5d2f793b6	GENE	add448e9-e442-4153-b7f7-863cd62a0252	4090	4170	150	52
TCF7L1	fec69c04-9d3b-4df2-a085-25a833741467	GENE	e6b953fa-78f3-4b3b-8692-edccb452a9d5	3790	4310	150	52
WIF1	e8fa0329-6f49-4f68-b09f-321f50d56151	GENE	add448e9-e442-4153-b7f7-863cd62a0252	3890	3470	150	52
TLE2	3858c2cf-3e2e-4701-8eb5-341965dd42ee	GENE	367b01a7-9a46-45da-87e9-32722dc7012f	4330	4250	150	52
TCF7L2	70041abc-2772-4db9-8de7-59a705bc7d90	GENE	e6b953fa-78f3-4b3b-8692-edccb452a9d5	3950	4310	150	52
AXIN1	2b8bb0f9-3563-4fcd-9e65-9291b4b2633e	GENE	f41147bf-42d1-4ac3-bbca-b699beec30b9	3610	4010	150	52
WNT Dual Receptor Complex	1cda6c53-95fb-4e53-94db-82fefbfbbe74	COMPLEX	add448e9-e442-4153-b7f7-863cd62a0252	3890	3820	150	52
SFRP2	a6eaafc1-2706-4088-86ab-f6606821286d	GENE	c9bb9673-b3f2-4323-a3f7-d1c83d885547	4170	3590	150	52
LRP5	4ff1e424-7492-4d45-a6ed-a3e3bac558b6	GENE	1cda6c53-95fb-4e53-94db-82fefbfbbe74	3970	3910	150	52
TCF7	282b5682-708e-44fd-b3b1-64c1339273e3	GENE	e6b953fa-78f3-4b3b-8692-edccb452a9d5	3890	4250	150	52
TLE3	539fbafa-767a-4aee-9c91-f99dc19eab6d	GENE	367b01a7-9a46-45da-87e9-32722dc7012f	4170	4310	150	52
Cell proliferation	a5f131d0-ba93-4e33-b6db-0fdc1c3234d5	PROCESS	add448e9-e442-4153-b7f7-863cd62a0252	3590	4290	132	24
TCF/LEF	e6b953fa-78f3-4b3b-8692-edccb452a9d5	COMPLEX	add448e9-e442-4153-b7f7-863cd62a0252	3870	4280	150	52
AXIN	f41147bf-42d1-4ac3-bbca-b699beec30b9	FAMILY	add448e9-e442-4153-b7f7-863cd62a0252	3610	4040	150	52
RNF43	690230d2-a4df-4645-ab99-48dd8b6f2535	GENE	add448e9-e442-4153-b7f7-863cd62a0252	3610	3830	150	52
CTNNB1	518bdfa5-5ee2-48d5-a61a-1d72235bdf87	GENE	add448e9-e442-4153-b7f7-863cd62a0252	3870	4110	150	52
SFRP	c9bb9673-b3f2-4323-a3f7-d1c83d885547	FAMILY	add448e9-e442-4153-b7f7-863cd62a0252	4250	3570	150	52
WNT ligands	9438ca4d-441a-4098-b829-5e899799e569	GENE	add448e9-e442-4153-b7f7-863cd62a0252	3890	3570	150	52
LRP6	3a14ef66-e0cb-47bb-a71b-c028b65aee51	GENE	1cda6c53-95fb-4e53-94db-82fefbfbbe74	3970	3970	150	52
GSK3B	96d7be10-cac1-4f12-9591-3b831633ed2a	GENE	add448e9-e442-4153-b7f7-863cd62a0252	4090	4070	150	52
SFRP5	a06f4845-8fc3-45ec-b488-9a275529a4fb	GENE	c9bb9673-b3f2-4323-a3f7-d1c83d885547	4330	3630	150	52
AMER1	ae0a01b4-d4a9-49d6-9b28-5169b9dfc283	GENE	add448e9-e442-4153-b7f7-863cd62a0252	3610	4190	150	52
SFRP4	21459104-213b-4463-8bb7-6e3b80b4dbad	GENE	c9bb9673-b3f2-4323-a3f7-d1c83d885547	4330	3570	150	52
AXIN2	6e7a0e8c-0a8a-42c1-be6d-0e008ffb8a7d	GENE	f41147bf-42d1-4ac3-bbca-b699beec30b9	3610	4070	150	52
DKK1	924dac3a-bf8a-44e3-8622-e806dbe18a18	GENE	6adc2e82-90b1-4c8b-b092-01039ce7f935	4170	3790	150	52
DKK2	81ed7abf-0965-4550-897e-70759a1744e8	GENE	6adc2e82-90b1-4c8b-b092-01039ce7f935	4330	3790	150	52
DKK4	e92e0f6e-213e-4f73-9563-af0fe2e02e3b	GENE	6adc2e82-90b1-4c8b-b092-01039ce7f935	4330	3850	150	52
DKK3	7f14dbf5-e7c5-4006-bd68-f8834a7add5a	GENE	6adc2e82-90b1-4c8b-b092-01039ce7f935	4170	3850	150	52
DKK	6adc2e82-90b1-4c8b-b092-01039ce7f935	FAMILY	add448e9-e442-4153-b7f7-863cd62a0252	4250	3820	150	52
Wnt pathway	add448e9-e442-4153-b7f7-863cd62a0252	COMPARTMENT	-1	3968	3900	954.3881756825946	931.9008938091681
AKT3	47183355-09e9-46dc-b1ac-6ba21ba1a719	GENE	e3a3d732-e95e-43ea-b77c-08106f3eaba6	5090	3210	150	52
RPTOR	7ca75d4a-0bc0-4684-86b7-081fbaafad3e	GENE	c2a94e37-3116-48ef-8a41-321f8c35b40d	5110	3610	150	52
PIK3CA	1bc82ab1-69ee-4d11-8ff3-3a5df48aafb7	GENE	7fb615ea-b479-4723-906a-37386e48c1f1	4930	3050	150	52
PIK3R2	8556cb5d-a090-4602-a3c9-9015792b0cc1	GENE	c423f2ac-3e26-47a4-b2b3-2ecff4082868	5150	3050	150	52
RHEB	d262c3dc-b43c-49c1-b863-27ed197143ee	GENE	7fb615ea-b479-4723-906a-37386e48c1f1	5110	3421	150	52
PIK3R	c423f2ac-3e26-47a4-b2b3-2ecff4082868	FAMILY	7fb615ea-b479-4723-906a-37386e48c1f1	5150	3050	150	52
AKT	e3a3d732-e95e-43ea-b77c-08106f3eaba6	FAMILY	7fb615ea-b479-4723-906a-37386e48c1f1	4930	3210	150	52
mTORC2	cc84875a-03b6-431f-8f5e-fc0d0b39e83b	FAMILY	7fb615ea-b479-4723-906a-37386e48c1f1	4780	3610	150	52
TSC	d7b45352-d3ba-49fa-adbd-2aafa49459fa	FAMILY	7fb615ea-b479-4723-906a-37386e48c1f1	4930	3420	150	52
AKT2	7574b7f8-c090-4fdc-9760-2138185bdf6b	GENE	e3a3d732-e95e-43ea-b77c-08106f3eaba6	4930	3210	150	52
mTORC1	c2a94e37-3116-48ef-8a41-321f8c35b40d	FAMILY	7fb615ea-b479-4723-906a-37386e48c1f1	5110	3610	375.8870823961692	55
PPP2R1A	0d920c04-df65-48f0-84b2-de7c55a59abb	GENE	7fb615ea-b479-4723-906a-37386e48c1f1	4570	3210	150	52
PIK3R3	a20fa443-93f2-4bbe-b654-ed945a4a514b	GENE	c423f2ac-3e26-47a4-b2b3-2ecff4082868	5150	3110	150	52
PTEN	acba532d-19d6-4aff-a181-aae3a842b14f	GENE	7fb615ea-b479-4723-906a-37386e48c1f1	4930	2970	150	52
MTOR	c9869e91-5554-4a5b-beb6-3e06ed12b1db	GENE	cc84875a-03b6-431f-8f5e-fc0d0b39e83b	4890	3610	150	52
PIK3R1	6756b4f4-be39-4705-a78a-f88f94416542	GENE	c423f2ac-3e26-47a4-b2b3-2ecff4082868	5150	2990	150	52
Cell growth	d34dccba-27b3-4e39-9c9b-32f7e561bd67	PROCESS	7fb615ea-b479-4723-906a-37386e48c1f1	4890	3730	90	24
INPP4B	16ada7ea-58c8-498c-9f13-8bc34530f532	GENE	7fb615ea-b479-4723-906a-37386e48c1f1	4710	2970	150	52
TSC1	8d77c168-8630-494e-9103-d7efbd8fd63a	GENE	d7b45352-d3ba-49fa-adbd-2aafa49459fa	4930	3390	150	52
TSC2	42858702-d0e7-4875-a3a6-841ec46cb424	GENE	d7b45352-d3ba-49fa-adbd-2aafa49459fa	4930	3450	150	52
RICTOR	61309c73-35d2-4c20-ade4-2c9730c78774	GENE	cc84875a-03b6-431f-8f5e-fc0d0b39e83b	4670	3610	150	52
AKT1	f1026508-aac8-4e38-9839-0d3894900c3d	GENE	e3a3d732-e95e-43ea-b77c-08106f3eaba6	4770	3210	150	52
STK11	b021a197-6308-4a71-8d67-498e1428a6e1	GENE	7fb615ea-b479-4723-906a-37386e48c1f1	4670	3419	150	52
KEAP1	1daa115c-2d2e-4fcd-ae99-17ff3aa2a74d	GENE	d5725f02-7494-44ba-a4ee-6653de52e4b0	4950	2770	150	52
CUL3	81d920eb-c1af-4c48-9f34-c72452a06240	GENE	d5725f02-7494-44ba-a4ee-6653de52e4b0	5130	2770	150	52
Oxidative Stress Response	eb7778c8-d0e3-4a44-a5bc-d0152da5e73c	PROCESS	d5725f02-7494-44ba-a4ee-6653de52e4b0	4850	2850	174	24
NFE2L2	e9ea7c80-44cc-4541-a1bb-651e6f145f81	GENE	d5725f02-7494-44ba-a4ee-6653de52e4b0	5050	2850	150	52
Nrf2 pathway	d5725f02-7494-44ba-a4ee-6653de52e4b0	COMPARTMENT	-1	4984	2810	150	52
NRAS	702d5fd4-ece8-4058-af22-113621ccd0fa	GENE	1b13f04f-ad53-406c-b8ea-91e0e94aa997	4170	3050	150	52
ROS1	35a32f27-d491-4760-8476-f38cc7ba2d18	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3690	2870	150	52
KIT	754f0d84-526e-4472-bf38-073f1b7b3520	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4170	2810	150	52
Translation	e734c046-fb3e-40a7-91dc-aaf1ad22c5bf	PROCESS	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3910	3370	90	24
PTPN11	50762fd4-70fc-4d80-9773-41c2fd52bd83	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3530	3150	150	52
RAS	1b13f04f-ad53-406c-b8ea-91e0e94aa997	FAMILY	23c6314e-b52d-4f0b-b8e0-74903a6a643b	4090	3050	150	52
RET	d47b58c5-6ee8-490d-b4d9-9a0f951fff35	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3530	2870	150	52
CBL	1ca5bf1e-9f62-4118-a00a-6c78e8f29a31	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3530	2970	150	52
Proliferation	c21df5e2-c563-4820-9136-0821901bd575	PROCESS	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3590	3370	102	24
FLT3	038795e5-1417-4e22-bafe-166c6b784cba	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4010	2870	150	52
NF1	e35492b6-5ef3-464e-a2d1-8761cd03013e	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	4150	2970	150	52
NTRK2	b641adcc-f260-4551-8174-6c5cea2abbcc	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4330	2870	150	52
ERRFI1	fd87716b-11fd-4440-bce5-a4ed84922f41	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3530	3050	150	52
ARAF	f00d9d7b-3792-4388-b739-23d3c903d54c	GENE	f4c7c4f9-52a2-4924-8078-98d4dad81017	3930	3150	150	52
FGFR3	98d9021a-de22-4d9e-bd79-e700557998b6	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3850	2810	150	52
HRAS	87cdf8e7-64ca-4866-a074-7b28b5724f36	GENE	1b13f04f-ad53-406c-b8ea-91e0e94aa997	4010	3050	150	52
MET	36daf8ea-eb68-4c20-baea-7b757bfeb62f	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4170	2750	150	52
RAF1	44e1c837-163f-4070-987a-5babcdbd6c73	GENE	f4c7c4f9-52a2-4924-8078-98d4dad81017	4250	3150	150	52
RAC1	0ee768ee-02d9-40e2-a014-fa01301c9bcc	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3630	3250	150	52
FGFR1	ff6e8a6d-235a-4968-b9ef-fceb3a464e60	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3530	2810	150	52
MEK	448b7601-6254-4a66-a88c-d28178be30ad	FAMILY	23c6314e-b52d-4f0b-b8e0-74903a6a643b	4090	3250	150	52
FGFR2	565a966e-4e0d-4688-8740-cbfe2f892548	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3690	2810	150	52
KRAS	fe04744b-9be9-4a36-afc1-560ba528db43	GENE	1b13f04f-ad53-406c-b8ea-91e0e94aa997	3850	3050	150	52
BRAF	cbf15d3c-9ba8-4438-95d6-e087521f3c97	GENE	f4c7c4f9-52a2-4924-8078-98d4dad81017	4090	3150	150	52
ERBB2	3bf70889-843b-4b9d-a8a2-a1abd969222c	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3690	2750	150	52
ERBB4	493f49dc-2f33-4b1d-9b28-d94f09c4db11	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4010	2750	150	52
MAPK1	48cc8bb4-851e-4fb8-9914-380f033b9f0f	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3810	3250	150	52
RAF	f4c7c4f9-52a2-4924-8078-98d4dad81017	FAMILY	23c6314e-b52d-4f0b-b8e0-74903a6a643b	4090	3150	150	52
EGFR	bef39955-46d3-487a-ac60-83bc5afc434b	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3530	2750	150	52
RASA1	78a9654a-8c1e-4248-8198-ff6f400bfd3b	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	4310	2970	150	52
FGFR4	a70fa65d-58cb-4f83-b498-2c0d7297fecf	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4010	2810	150	52
IGF1R	a36c227e-2d1f-4644-a727-76c7eb12e494	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4330	2810	150	52
ERBB3	04e5a6bf-0153-4ac8-9e47-e982e27a1e1d	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3850	2750	150	52
Cell survival	e677e677-8310-4de2-b1f4-3eaff9fdc270	PROCESS	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3750	3370	102	24
SOS1	fa257eb7-671d-4799-bf76-8e1423e50bf4	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3990	2970	150	52
RIT1	fb89d574-2c30-42c3-a214-be4a8488b3b7	GENE	1b13f04f-ad53-406c-b8ea-91e0e94aa997	4330	3050	150	52
MAP2K2	7266bba0-8132-486c-8c78-06b82559c675	GENE	448b7601-6254-4a66-a88c-d28178be30ad	4170	3250	150	52
ALK	3e27f65a-8fe9-44ab-a504-f0b70a90f804	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	3850	2870	150	52
NTRK1	9bdace95-9a9a-404c-a6ca-a10c56a8b0bc	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4170	2870	150	52
RTKs	896d39c2-673e-406f-a0de-ecc34cf2eaaa	FAMILY	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3930	2810	150	52
PDGFRA	94cebfbd-598b-422f-b7f4-697e7caa0c0c	GENE	896d39c2-673e-406f-a0de-ecc34cf2eaaa	4330	2750	150	52
MAP2K1	dea3c167-7564-447a-b50c-a1b158827f39	GENE	448b7601-6254-4a66-a88c-d28178be30ad	4010	3250	150	52
ABL1	4fccd848-dcec-4b72-8355-24bbb1923d4b	GENE	23c6314e-b52d-4f0b-b8e0-74903a6a643b	3830	2970	150	52
RTK/RAS pathway	23c6314e-b52d-4f0b-b8e0-74903a6a643b	COMPARTMENT	-1	3930	3049	150	52
MDM2	ad9dcddc-fa12-414b-8123-0092344eee39	GENE	a00f9704-f12c-4d7c-870c-62d4afc0afa8	5410	2930	150	52
CDKN1A	7f3bd4a4-3366-4c50-9838-2d5c77239a75	GENE	a44e0979-4c4c-475b-b489-a7bbea3ebbf3	5770	3170	150	52
CCND1	b17dc84f-162b-45e7-b134-810735712606	GENE	52841727-0115-4ccc-bb8f-e77e45c2ad30	5570	3430	150	52
Cell cycle progression	258ba477-7f25-4a0e-861a-f60fd79a8d8f	PROCESS	9b8c9140-8f58-4231-b7c8-973e7b02b85e	5770	3610	156	24
CCNE1	e84cc2fd-1468-4e5a-857a-848d7fab4fa6	GENE	9b8c9140-8f58-4231-b7c8-973e7b02b85e	5570	3350	150	52
Senescence	002cf124-b0a2-46e7-b811-46fcad67e630	PROCESS	08f2daf4-1d73-4237-99e5-e55f2c8c3469	5770	2990	90	24
RB1	d9af2d1d-70da-402a-89c3-8e1c54198560	GENE	9b8c9140-8f58-4231-b7c8-973e7b02b85e	5770	3350	150	52
E2F3	73ee4c4a-baa1-4563-be4e-306939964b27	GENE	ecb2ea79-a86d-4e4a-92a5-49699f15b573	5770	3430	150	52
CDKN2A	c738ba07-f761-47e5-a353-1b65b8ee2d5f	GENE	d8e0a9e7-0852-4771-844a-74a47a641d20	5410	3270	150	52
TP53	530edf24-7d46-4e2e-a345-c6e7d9605a47	GENE	08f2daf4-1d73-4237-99e5-e55f2c8c3469	5590	3010	150	52
ATM	7be4361b-d491-4636-a458-f4f15e8ef8fa	GENE	08f2daf4-1d73-4237-99e5-e55f2c8c3469	5770	2770	150	52
E2F	ecb2ea79-a86d-4e4a-92a5-49699f15b573	FAMILY	9b8c9140-8f58-4231-b7c8-973e7b02b85e	5770	3460	150	52
CDKN1	a44e0979-4c4c-475b-b489-a7bbea3ebbf3	FAMILY	9b8c9140-8f58-4231-b7c8-973e7b02b85e	5770	3200	150	52
MDM4	6a1af0d9-5298-4450-8979-848799eb6f24	GENE	a00f9704-f12c-4d7c-870c-62d4afc0afa8	5410	2870	150	52
CCND2	bbb47c15-ca4b-4cf4-82e5-de3c21ab029a	GENE	52841727-0115-4ccc-bb8f-e77e45c2ad30	5570	3490	150	52
CCND3	96fe22f7-ee0f-411b-9d86-20af342e1f3d	GENE	52841727-0115-4ccc-bb8f-e77e45c2ad30	5570	3550	150	52
Cyclins	52841727-0115-4ccc-bb8f-e77e45c2ad30	COMPLEX	9b8c9140-8f58-4231-b7c8-973e7b02b85e	5570	3490	150	52
CDKN2B	deecbc9f-ac0f-4953-987d-e7ab78035e80	GENE	d8e0a9e7-0852-4771-844a-74a47a641d20	5410	3150	150	52
CDKN2C	a2355a01-c8ed-448d-8994-c78c1d106b1b	GENE	d8e0a9e7-0852-4771-844a-74a47a641d20	5410	3210	150	52
CDKN2	d8e0a9e7-0852-4771-844a-74a47a641d20	FAMILY	9b8c9140-8f58-4231-b7c8-973e7b02b85e	5410	3210	150	52
CDKN1B	1794283c-034d-4e5b-bbc0-50170e45a2ca	GENE	a44e0979-4c4c-475b-b489-a7bbea3ebbf3	5770	3230	150	52
E2F1	8595de10-4902-4883-8f9e-21c67721731c	GENE	ecb2ea79-a86d-4e4a-92a5-49699f15b573	5770	3490	150	52
DNA replication stress	c68175cd-11bb-4826-86c3-b64d0c95bb54	PROCESS	08f2daf4-1d73-4237-99e5-e55f2c8c3469	5770	2690	150	52
CHEK2	dae28e68-63b6-4207-93c7-86551d63f061	GENE	08f2daf4-1d73-4237-99e5-e55f2c8c3469	5770	2850	150	52
RPS6KA3	9bb03c27-35a1-4edb-bae5-924854924623	GENE	08f2daf4-1d73-4237-99e5-e55f2c8c3469	5770	2930	150	52
MDM	a00f9704-f12c-4d7c-870c-62d4afc0afa8	FAMILY	08f2daf4-1d73-4237-99e5-e55f2c8c3469	5410	2900	150	52
TP53 pathway	08f2daf4-1d73-4237-99e5-e55f2c8c3469	COMPARTMENT	-1	5586	2863	150	52
Cell Cycle	9b8c9140-8f58-4231-b7c8-973e7b02b85e	COMPARTMENT	-1	5590	3467	527	704
